,City Name,Cloud density,Lat,Lng,Country,Date,Humidity,Max Tempture,Wind Speed
88,kaitangata,20,-46.28,169.85,NZ,1595306821,58,52.0,4.0
89,esperance,100,-33.87,121.9,AU,1595306821,62,57.2,16.11
90,lasa,20,46.62,10.7,IT,1595306821,100,62.01,3.36
91,puerto ayora,100,-0.74,-90.35,EC,1595306814,87,69.01,1.01
92,butaritari,74,3.07,172.79,KI,1595306822,66,83.57,4.94
93,kuytun,53,54.34,101.5,RU,1595306822,42,71.11,7.18
94,alyangula,40,-13.85,136.42,AU,1595306822,37,82.4,9.17
95,kabo,58,7.7,18.63,CF,1595306822,98,67.08,3.51
96,saldanha,0,-33.01,17.94,ZA,1595306822,87,42.8,2.24
97,atuona,40,-9.8,-139.03,PF,1595306818,79,80.35,19.08
98,katangli,100,51.71,143.23,RU,1595306822,90,54.88,14.94
99,greenville,1,35.61,-77.37,US,1595306822,83,78.01,6.93
100,gweru,6,-19.45,29.82,ZW,1595306822,97,44.51,5.61
101,itaituba,55,-4.28,-55.98,BR,1595306823,66,73.71,1.66
102,rongcheng,100,30.63,117.85,CN,1595306823,99,84.99,2.21
103,mogadishu,90,2.04,45.34,SO,1595306823,69,77.0,20.8
104,lebu,100,-37.62,-73.65,CL,1595306823,83,50.5,13.94
105,chicama,31,-7.84,-79.15,PE,1595306823,87,60.13,2.84
106,joensuu,53,62.6,29.76,FI,1595306823,82,66.99,1.12
107,richards bay,0,-28.78,32.04,ZA,1595306823,56,54.66,5.01
108,cape town,0,-33.93,18.42,ZA,1595306583,62,55.4,10.29
109,faanui,29,-16.48,-151.75,PF,1595306824,82,77.81,25.55
110,fairbanks,90,64.84,-147.72,US,1595306824,77,66.2,8.05
111,bambous virieux,75,-20.34,57.76,MU,1595306824,56,71.01,16.11
112,hobyo,85,5.35,48.53,SO,1595306824,65,80.67,27.16
113,puerto narino,79,-3.77,-70.38,CO,1595306824,98,71.15,1.05
114,ponta do sol,40,32.67,-17.1,PT,1595306824,68,69.8,9.17
115,caravelas,3,-17.71,-39.25,BR,1595306825,88,68.76,4.99
116,piacabucu,83,-10.41,-36.43,BR,1595306825,83,72.97,11.65
117,komsomolskiy,1,40.43,71.72,UZ,1595306825,26,84.2,6.93
118,saint-philippe,90,-21.36,55.77,RE,1595306825,60,69.8,13.87
119,coquimbo,69,-29.95,-71.34,CL,1595306825,81,50.0,8.05
120,airai,100,-8.93,125.41,TL,1595306825,51,73.04,4.25
121,college,75,64.86,-147.8,US,1595306826,68,66.2,5.82
122,vila franca do campo,90,37.72,-25.43,PT,1595306826,88,66.2,4.7
123,mount isa,88,-20.73,139.5,AU,1595306826,25,77.0,8.05
124,laguna,1,38.42,-121.42,US,1595306612,60,71.6,4.7
125,cidreira,64,-30.18,-50.21,BR,1595306826,84,64.69,4.38
126,imbituba,3,-28.24,-48.67,BR,1595306595,93,64.4,6.93
127,victoria,20,22.29,114.16,HK,1595306826,59,91.0,11.01
128,clyde river,90,70.47,-68.59,CA,1595306827,100,42.8,11.41
129,fort smith,1,35.39,-94.4,US,1595306827,65,82.4,4.7
130,yar-sale,100,66.83,70.83,RU,1595306827,80,58.21,8.01
131,moissala,90,8.34,17.77,TD,1595306827,97,69.15,3.6
132,biak,5,-0.91,122.88,ID,1595306828,71,82.83,5.88
133,severo-kurilsk,42,50.68,156.12,RU,1595306828,80,53.76,3.62
134,chuy,98,-33.7,-53.46,UY,1595306828,87,65.17,5.28
135,umea,75,63.83,20.26,SE,1595306663,100,62.01,5.59
